6.543778801843318504e-01 2.746543778801843749e-01 2.073732718894009258e-02
6.571428571428572507e-01 5.898617511520736212e-01 9.953917050691238333e-02
6.571428571428572507e-01 6.239631336405531137e-01 1.156682027649769406e-01
6.571428571428572507e-01 6.336405529953916815e-01 1.377880184331796987e-01
6.571428571428572507e-01 6.129032258064516236e-01 1.036866359447004560e-01
6.571428571428572507e-01 6.465437788018433274e-01 1.129032258064516098e-01
6.571428571428572507e-01 5.870967741935482209e-01 7.834101382488477261e-02
6.571428571428572507e-01 6.096774193548386567e-01 8.617511520737328179e-02
6.571428571428572507e-01 6.470046082949310051e-01 1.207373271889400773e-01
6.571428571428572507e-01 6.552995391705069839e-01 9.170506912442395742e-02
6.571428571428572507e-01 6.410138248847927489e-01 3.032258064516128448e-01
6.571428571428572507e-01 4.880184331797234876e-01 4.884792626728109988e-02
6.571428571428572507e-01 4.096774193548386456e-01 3.364055299539169680e-02
6.571428571428572507e-01 6.304147465437788256e-01 7.004608294930876611e-02
6.571428571428572507e-01 6.258064516129032695e-01 9.447004608294928829e-02
6.571428571428572507e-01 6.447004608294931716e-01 1.396313364055299377e-01
6.571428571428572507e-01 6.442396313364056049e-01 1.423963133640552825e-01
6.571428571428572507e-01 6.479262672811061385e-01 1.589861751152074065e-01
6.571428571428572507e-01 6.230414746543779803e-01 1.423963133640552825e-01
6.571428571428572507e-01 6.165898617511520463e-01 9.400921658986176321e-02
6.571428571428572507e-01 6.391705069124423710e-01 1.202764976958525106e-01
6.571428571428572507e-01 6.451612903225807383e-01 1.115207373271889096e-01
6.571428571428572507e-01 6.101382488479262234e-01 6.958525345622118552e-02
6.571428571428572507e-01 5.677419354838709742e-01 5.668202764976956742e-02
6.571428571428572507e-01 6.571428571428572507e-01 1.225806451612902886e-01
