4.107142857142857539e-01 4.285714285714286031e-01 4.285714285714286031e-01 4.642857142857143016e-01 4.285714285714286031e-01 3.571428571428570953e-01 3.571428571428570953e-01 1.000000000000000000e+00 4.642857142857143016e-01 3.928571428571429047e-01 3.928571428571429047e-01
4.499999999999999556e-01 4.749999999999999778e-01 4.499999999999999556e-01 3.750000000000000000e-01 4.000000000000000222e-01 3.000000000000000444e-01 4.000000000000000222e-01 1.000000000000000000e+00 4.250000000000000444e-01 3.499999999999999778e-01 3.499999999999999778e-01
3.170731707317072656e-01 4.878048780487804770e-01 1.707317073170732113e-01 2.682926829268292845e-01 3.414634146341463117e-01 3.414634146341463117e-01 3.658536585365853577e-01 1.000000000000000000e+00 4.878048780487804770e-01 2.439024390243902385e-01 2.560975609756097615e-01
4.230769230769231282e-01 4.615384615384615641e-01 4.230769230769231282e-01 4.230769230769231282e-01 4.615384615384615641e-01 4.615384615384615641e-01 4.615384615384615641e-01 1.000000000000000000e+00 4.615384615384615641e-01 4.423076923076923461e-01 4.615384615384615641e-01
4.399999999999999467e-01 4.399999999999999467e-01 2.800000000000000266e-01 3.599999999999999867e-01 4.000000000000000222e-01 4.399999999999999467e-01 4.399999999999999467e-01 1.000000000000000000e+00 4.799999999999999822e-01 2.399999999999999911e-01 2.399999999999999911e-01
4.799999999999999822e-01 4.399999999999999467e-01 3.599999999999999867e-01 4.799999999999999822e-01 4.399999999999999467e-01 4.399999999999999467e-01 4.000000000000000222e-01 1.000000000000000000e+00 4.399999999999999467e-01 4.799999999999999822e-01 4.399999999999999467e-01
4.545454545454545858e-01 4.545454545454545858e-01 4.242424242424241987e-01 4.848484848484848619e-01 4.848484848484848619e-01 4.848484848484848619e-01 4.848484848484848619e-01 1.000000000000000000e+00 4.242424242424241987e-01 4.242424242424241987e-01 4.848484848484848619e-01
4.062500000000000000e-01 4.687500000000000000e-01 4.375000000000000000e-01 4.687500000000000000e-01 4.687500000000000000e-01 4.375000000000000000e-01 4.062500000000000000e-01 1.000000000000000000e+00 3.750000000000000000e-01 4.687500000000000000e-01 4.375000000000000000e-01
5.000000000000000000e-01 4.583333333333333703e-01 4.583333333333333703e-01 4.583333333333333703e-01 4.583333333333333703e-01 4.166666666666666297e-01 4.583333333333333703e-01 1.000000000000000000e+00 5.000000000000000000e-01 5.000000000000000000e-01 4.583333333333333703e-01
4.782608695652174058e-01 4.565217391304348116e-01 2.391304347826086474e-01 3.478260869565217295e-01 4.782608695652174058e-01 3.478260869565217295e-01 4.347826086956522174e-01 1.000000000000000000e+00 4.565217391304348116e-01 4.565217391304348116e-01 4.347826086956522174e-01
