155,8,45,12,1,25,1,0,0
4,104,75,10,17,0,23,8,0
17,58,24,22,0,0,3,7,0
55,8,20,6,1,19,0,2,0
7,13,13,10,23,1,3,16,5
40,5,13,1,2,8,4,0,0
0,2,0,47,0,0,10,1,0
1,12,17,1,0,0,0,0,0
13,4,5,2,1,0,3,1,1
2,15,2,2,9,0,0,0,0
8,12,2,2,2,1,0,0,1
6,0,3,4,4,1,7,0,1
2,4,1,2,2,0,0,0,0
7,0,0,2,0,0,1,0,0
0,5,2,0,2,0,1,0,0
8,0,1,1,0,0,0,0,0
9,0,0,0,0,0,0,0,0
3,1,1,3,0,0,0,0,0
4,2,0,0,0,1,0,0,0
0,0,3,1,0,0,0,0,0
2,1,0,0,0,1,0,0,0
0,2,0,0,0,1,1,0,0
0,1,0,0,0,1,0,0,0
2,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0
